job_name,company_name,location,exp_level,exp_years,skills
SOCIAL MEDIA MANAGER (JIMMY LE BOND) - THE CLOSET,PrecisionHire Solutions,Dubai,Full Time,Experienced,Writing/Editorial
"Operation Specialist (Jeddah, KSA)",Boston Scientific,Riyadh,Full Time,Entry Level,Customer Service/Support
Frontend Developer - AceNet,PrecisionHire Solutions,Dubai,Full Time,Entry Level,Creative/Design/Art
Talent Acquisition Manager - ASTUDIO,PrecisionHire Solutions,Dubai,Full Time,Experienced,Human Resources
Graphic Designer - Al Nexzit Consults,PrecisionHire Solutions,Dubai,Full Time,Entry Level,Creative/Design/Art
Financial Accounting Manager - Dubai - TikTok,PrecisionHire Solutions,Dubai,Full Time,Experienced,Accounting/Finance
HR Manager - BeforeHello,PrecisionHire Solutions,Dubai,Full Time,Experienced,Administration
"Associate Human Resources Officer, P-2 - International Renewable Energy Agency (IRENA)",PrecisionHire Solutions,Dubai,Full Time,Experienced,Administration
"General Manager & Vice President, United Arab Emirates - Novo Nordisk",PrecisionHire Solutions,Dubai,Full Time,Senior Management,Accounting/Finance
Patient Representative - NMC Healthcare,PrecisionHire Solutions,Dubai,Full Time,Entry Level,Customer Service/Support
"Event Executive - Marriott International, Inc",PrecisionHire Solutions,Riyadh,Full Time,Experienced,Marketing/PR/Advertising
Talent Acquisition Manager Middle East & Africa - NOV Inc.,PrecisionHire Solutions,Riyadh,Full Time,Experienced,Human Resources
Operations Manager - The Emirates Group,PrecisionHire Solutions,Dubai,Full Time,Experienced,Administration
HR Operations Supervisor - Richemont,PrecisionHire Solutions,Riyadh,Full Time,Experienced,Human Resources
Junior Accountant - Guildhall,PrecisionHire Solutions,Dubai,Full Time,Entry Level,Accounting/Finance
"Executive, Community Sales/ Phono Subsidiary of Ooredoo Kuwait - Ooredoo Group of Companies",PrecisionHire Solutions,Kuwait City,Full Time,Experienced,Accounting/Finance
"Career Opportunities: Senior Lawyer, Legal Services (12782) - Al-Sayer Group",PrecisionHire Solutions,Kuwait City,Freelance / Project,Experienced,Accounting/Finance
"Enterprise Account Manager, Middle East Public Sector - Amazon Web Services EMEA Sarl",PrecisionHire Solutions,Kuwait City,Full Time,Experienced,Accounting/Finance
Admin Coordinator - MSC Mediterranean Shipping Company S.A.,PrecisionHire Solutions,Riyadh,Full Time,Entry Level,Administration
Retail Sales Executive - Malabar Group,PrecisionHire Solutions,Dubai,Full Time,Experienced,Business Development
HR Business Advisor - AIU,PrecisionHire Solutions,Kuwait City,Full Time,Experienced,Business Development
"Manager, Fixed Marketing Customer Value Management (CVM) - Ooredoo Group of Companies",PrecisionHire Solutions,Kuwait City,Full Time,Experienced,Customer Service/Support
Marketing Specialist - Jazeera Airways,PrecisionHire Solutions,Kuwait City,Full Time,Entry Level,Marketing/PR/Advertising
Business Manager - Medtronic,PrecisionHire Solutions,Kuwait City,Full Time,Manager,Business Development
PROCUREMENT OFFICER - Grand Hyatt Dubai,PrecisionHire Solutions,Dubai,Full Time,Entry Level,Administration
Marketing Manager - Hassan Abul,PrecisionHire Solutions,Kuwait City,Full Time,Experienced,Marketing/PR/Advertising
Legal Office Coordinator - CharterHouse,PrecisionHire Solutions,Doha,Full Time,Entry Level,Administration
Finance Manager at KUWAIT (Urgent Hiring) - Synergy Expat Jobs,PrecisionHire Solutions,Kuwait City,Full Time,Experienced,Accounting/Finance
General Ledger Accountant - Fugro,PrecisionHire Solutions,Doha,Full Time,Entry Level,Accounting/Finance
Talent Acquisition Specialist - Four Seasons,PrecisionHire Solutions,Doha,Full Time,Entry Level,Business Development
General Manager - Kuwait - Precision Drilling Corporation,PrecisionHire Solutions,Kuwait City,Full Time,Senior Management,Accounting/Finance
HR Assistant - Gulf Overseas HR Consultancy,PrecisionHire Solutions,Doha,Full Time,Entry Level,Administration
Supply Chain Manager - S&D Kuwait - IFFCO,PrecisionHire Solutions,Kuwait City,Full Time,Experienced,Logistics/Supply Chain
HR Officer - Cleaning center,PrecisionHire Solutions,Doha,Full Time,Entry Level,Administration
Health Economics and Market Access (HEMA) Lead - Middle East North Africa,Boston Scientific,Dubai,Full Time,Entry Level,Operations/Management
HVS Sourcing and Procurement Leader,GE Renewable Energy,Riyadh,Full Time,Manager,Customer Service/Support
HVS Sourcing and Procurement Leader,GE Vernova,Riyadh,Full Time,Manager,Customer Service/Support
Development Manager,HALCON,Dubai,Freelance / Project,Experienced,Business Development
Social Media Assistant,TD-Tech service,Dubai,Full Time,Entry Level,Writing/Editorial
Social Media Assistant,Orca Collective KL,Dubai,Full Time,Entry Level,Writing/Editorial
Senior Marketing & Communication Specialist,Black & Grey HR,Dubai,Full Time,Experienced,Marketing/PR/Advertising
"Backoffice (Non-voice mail&chat)Excellent English,Etisalat UAE",Etisalat Egypt,Maadi,Full Time,Entry Level,0 - 4 Yrs of Exp
Administrative Assistant,Apparel Group,Makkah,Full Time,Entry Level,Administration
Mech. Rel. Eng. Grp Leader,WestRock Company,Cairo,Full Time,Experienced,Installation/Maintenance/Repair
Senior Graphic Designer,Rize | رايز,Cairo,Full Time,Experienced,Creative/Design/Art
CNC Turret Punching Machine Operator,Sisco Jobs,Riyadh,Full Time,Entry Level,Installation/Maintenance/Repair
Coiffeur H/F,RAS Intérim,Riyadh,Full Time,Entry Level,Hospitality/Hotels/Food Services
Orders Management Assistant,Concrete For Readymade Garments,6th of October,Full Time,Experienced,2 - 4 Yrs of Exp
Therapeutic Area Medical Lead Hematology Gulf Cluster,Novartis,Dubai,Full Time,Experienced,Medical/Healthcare
Social Media Manager,ASTUDIO,Dubai,Full Time,Experienced,Writing/Editorial
Talent Acquisition Manager,ASTUDIO,Dubai,Full Time,Manager,Human Resources
Regulatory Affairs Associate,Novartis,Riyadh,Full Time,Entry Level,Administration
Procurement Specialist,MDAR Food Company,Dubai,Full Time,Entry Level,Administration
Data Entry Assistant (Remote) Work From Home,Infinite Wisdom Inc d/b/a Enerjiggle Bounce Emporium,Riyadh,Full Time,Not specified,Administration
Social Media Assistant,KL Insights,Dubai,Full Time,Entry Level,Writing/Editorial
Remote Data Entry Representative (Work From Home),APcursos,Riyadh,Full Time,Not specified,Customer Service/Support
Data Entry Assistant (100% Remote) Work From Home,Infinite Wisdom Inc d/b/a Enerjiggle Bounce Emporium,Dubai,Full Time,Not specified,Administration
Customs & Operations Assistant-Nfreight,Dewan Consultants,Dubai,Full Time,Entry Level,Administration
Social Media Assistant,KL Spring,Dubai,Full Time,Entry Level,Writing/Editorial
Social Media Assistant,KL Talent,Dubai,Full Time,Entry Level,Writing/Editorial
Armaments Technical Training Instructor,BSL,Doha,Full Time,Experienced,IT/Software Development
Remote Data Entry Clerks (Work From Home),APcursos,Dubai,Full Time,Not specified,Administration
Entry-Level Remote Administrative Clerk,APcursos,Dubai,Full Time,Not specified,Administration
Bio-Medical Engineering Administrative  Coordinator (Project Management Support),BSL,Doha,Full Time,Entry Level,IT/Software Development
Data Entry Representatives (Work From Home),APcursos,Dubai,Full Time,Not specified,Administration
Bio-Medical Engineering Administrative  Coordinator (Business Support),BSL,Doha,Full Time,Entry Level,IT/Software Development
Bio-Medical Engineering Administrative  Coordinators (Finance),BSL,Doha,Full Time,Entry Level,IT/Software Development
Bio-Medical Engineering Administrative  Coordinator (Business Administration),BSL,Doha,Full Time,Entry Level,IT/Software Development
Logistics Information System (LIS) Operator II (Maintenance),Amentum,Kuwait City,Full Time,Entry Level,Installation/Maintenance/Repair
Bio-Medical Engineering Administrative  Coordinator (Engineerig Support),BSL,Doha,Full Time,Entry Level,IT/Software Development
Archivist,BSL,Doha,Full Time,Entry Level,Administration
Senior Full Stack Developer,IQRA Network,Cairo,Full Time,Experienced,4 - 7 Yrs of Exp
Back Office Agent_ customer service,Etisalat Egypt,Maadi,Full Time,Entry Level,1 - 5 Yrs of Exp
Accountant,Confidential,10th of Ramadan City,Full Time,Entry Level,0 - 2 Yrs of Exp
"Assistant Manager, Customer Marketing, Upper Gulf",LIPTON Teas and Infusions,Kuwait City,Full Time,Entry Level,Customer Service/Support
Hub Domestic Specialist,Nacita,Smouha,Full Time,Experienced,1 - 3 Yrs of Exp
Electrical sales and marketing Engineer,Confidential,Nasr City,Full Time,Experienced,1 - 7 Yrs of Exp
Electrical Site Engineer,Confidential,St Catherine,Full Time,Experienced,2 - 7 Yrs of Exp
property consultant,Concrete For Real Estate,6th of October,Full Time,Experienced,1 - 10 Yrs of Exp
Marketing Manager,NOK for Human Capital Solutions,New Cairo,Full Time,Manager,15 - 20 Yrs of Exp
Digital Marketing Associate,lavana,Jeddah,Full Time,Experienced,3 - 5 Yrs of Exp
Account Manager,LAZARO SCENT ,New Cairo,Full Time,Experienced,3 - 7 Yrs of Exp
Proposal Writer,Confidential,Cairo,Part Time,Experienced,2 - 4 Yrs of Exp
Account Manager,Confidential,Heliopolis,Full Time,Entry Level,1 - 3 Yrs of Exp
Senior Talent Acquisition Specialist,"Izam, inc.",Smart Village,Full Time,Experienced,4 - 6 Yrs of Exp
English Teacher - Remote,4level1,Cairo,Part Time,Experienced,1+ Yrs of Exp
English Language Instructor,4level1,Maadi,Full Time,Experienced,1 - 2 Yrs of Exp
Telesales Representative,4level1,Maadi,Full Time,Experienced,1+ Yrs of Exp
English Teacher for kids - Remote,4level1,Cairo,Part Time,Experienced,1+ Yrs of Exp
Operations Manager,4level1,Maadi,Full Time,Manager,5 - 8 Yrs of Exp
English Instructor for Kids and Teens - Mansoura,4level1,Dakahlia,Full Time,Entry Level,Education/Teaching
English Instructor for adults - Shubra,4level1,Shubra,Full Time,Entry Level,0 - 10 Yrs of Exp
English Instructor for adults - Maadi,4level1,Maadi,Full Time,Entry Level,0 - 10 Yrs of Exp
English Instructor for adults - Dokki,4level1,Dokki,Full Time,Entry Level,0 - 10 Yrs of Exp
English Instructor for adults - Nasr City,4level1,Nasr City,Full Time,Entry Level,0 - 10 Yrs of Exp
Customer Account Manager,4level1,Maadi,Full Time,Experienced,1 - 2 Yrs of Exp
Customer Support Team Leader,4level1,Maadi,Full Time,Experienced,2 - 4 Yrs of Exp
English Instructor,4level1,Cairo,Full Time,Experienced,1+ Yrs of Exp
Call Center Agent,4level1,Maadi,Full Time,Entry Level,1+ Yrs of Exp
English Instructor for kids and teens,4level1,Cairo,Full Time,Entry Level,0 - 10 Yrs of Exp
Telesales Agent,4level1,Maadi,Full Time,Experienced,1+ Yrs of Exp
Music Teacher - Kuwait - August 2024,Randstad UK,Kuwait City,Full Time,Entry Level,R&D/Science
HR Operations & Personnel Manager,Ibn Sina Pharma,New Cairo,Full Time,Manager,8 - 10 Yrs of Exp
Production Specialist (Packaging),APEX Pharma,Badr City,Full Time,Experienced,3 - 5 Yrs of Exp
Customer Service Assistant,One Click Crazy Deals ,Nasr City,Full Time,Experienced,2+ Yrs of Exp
Finance Executive for Medical laboratory,Confidential,Dokki,Full Time,Experienced,2 - 5 Yrs of Exp
International Customer Care Representative (Work from home),_VOIS Egypt,Cairo,Full Time,Entry Level,0 - 2 Yrs of Exp
Human Resources Generalist,Confidential,Nasr City,Full Time,Experienced,3 - 5 Yrs of Exp
Software Sales Executive,Crete Solutions ,Nasr City,Full Time,Experienced,4 - 7 Yrs of Exp
Service Supervisor,Aswaq,Shorouk City,Full Time,Experienced,3 - 5 Yrs of Exp
Technical Support Agent (Work from home),_VOIS Egypt,Cairo,Full Time,Entry Level,1+ Yrs of Exp
Production Planner,Semak,Dokki,Full Time,Experienced,3 - 4 Yrs of Exp
Homeroom English Teacher,kiddies college,Cairo,Full Time,Entry Level,1 - 5 Yrs of Exp
Sr. Front End Developer,Safa Soft,Maadi,Full Time,Experienced,4 - 7 Yrs of Exp
Cost Accountant,International Food & Consumable Goods,6th of October,Full Time,Experienced,4 - 6 Yrs of Exp
Senior Contracting Executive,WITHIN EARTH HOLIDAYS,Mohandessin,Full Time,Experienced,3 - 10 Yrs of Exp
Key Retail Sales Supervisor,Cairo Three A Poultry,Haram,Full Time,Experienced,5 - 7 Yrs of Exp
English customer service representative,Outservingplus,Giza,Full Time,Experienced,2 - 4 Yrs of Exp
Fire Fighting Engineer,Bakry Consulting Engineers,Giza,Full Time,Experienced,2 - 15 Yrs of Exp
Electrical Engineer,Bakry Consulting Engineers,Giza,Full Time,Experienced,2 - 15 Yrs of Exp
Plumbing Design Engineer,Bakry Consulting Engineers,Giza,Full Time,Experienced,2 - 15 Yrs of Exp
Internal Audit Director,NOK for Human Capital Solutions,10th of Ramadan City,Full Time,Senior Management,10 - 15 Yrs of Exp
Technical Office Engineer-AV Systems,Tatas,Abdeen,Full Time,Experienced,2 - 4 Yrs of Exp
Maintenance Assistant Manager,SAVOLA,10th of Ramadan City,Full Time,Experienced,5 - 7 Yrs of Exp
Brand Manager (Detergents or Homecare),Kgroup,New Cairo,Full Time,Manager,3 - 5 Yrs of Exp
Call Center Agent,Ideal Standard International Egypt ,Sheraton,Full Time,Entry Level,1 - 2 Yrs of Exp
Lead Technical Office Architect - Alexandria,MENA For Contracting & Trading,North Coast,Full Time,Experienced,6 - 9 Yrs of Exp
Chief Accountant,Helm Organization,Cairo,Full Time,Manager,7 - 10 Yrs of Exp
Senior Cost Engineer,Rowad Modern Engineering,New Capital,Full Time,Experienced,5 - 8 Yrs of Exp
AR Accountant,Hamza Group,Dokki,Full Time,Experienced,2 - 3 Yrs of Exp
Front Desk,MODON Developments,Sheikh Zayed,Full Time,Entry Level,2 - 3 Yrs of Exp
Export Sales Supervisor,Confidential,6th of October,Full Time,Experienced,2 - 4 Yrs of Exp
Customer Support Representative,Octopus Outsourcing ,Mandara,Full Time,Entry Level,Customer Service/Support
CSS Representative,Octopus Outsourcing ,Mandara,Full Time,Entry Level,Customer Service/Support
Sales & Business Development Manager,Octopus Outsourcing ,Mandara,Full Time,Manager,2+ Yrs of Exp
Employee Engagement Specialist,Octopus Outsourcing ,Mandara,Full Time,Experienced,2+ Yrs of Exp
Administrator Specialist,Octopus Outsourcing ,Mandara,Full Time,Experienced,2+ Yrs of Exp
E-Commerce Executive (FMCG),Fine Hygienic Holding,6th of October,Full Time,Experienced,2 - 4 Yrs of Exp
AP Accountant,Hamza Group,Dokki,Full Time,Experienced,2 - 3 Yrs of Exp
HR Manager,الناجح للخدمات والاستشارات التعليمية والطلابية,Mokattam,Full Time,Experienced,5+ Yrs of Exp
Reservation agent (hajj & umrah),Alriada,Nasr City,Full Time,Experienced,3 - 5 Yrs of Exp
Technical Office Electrical Engineer,UGI-EPC,6th of October,Full Time,Experienced,2 - 4 Yrs of Exp
Account Activation Executive,Premium Card,Dokki,Full Time,Experienced,0 - 2 Yrs of Exp
Real Estate Agent,Concrete For Real Estate,6th of October,Internship,Entry Level,Customer Service/Support
Purchasing Manager - Steel OR Contracting,african trade&contracting,Giza,Full Time,Manager,5+ Yrs of Exp
Graphic Designer,Easy Cash,Heliopolis,Full Time,Experienced,2 - 3 Yrs of Exp
Civil Engineer Shop Drawing Drafter (Concrete),UGI-EPC,6th of October,Full Time,Entry Level,1 - 2 Yrs of Exp
Sales Engineer/Sales Manager,african trade&contracting,Giza,Full Time,Experienced,5 - 10 Yrs of Exp
Security Manager,Confidential,Cairo,Full Time,Manager,15 - 20 Yrs of Exp
Recruitment Specialist,Confidential,Mokattam,Full Time,Experienced,4 - 7 Yrs of Exp
Facilities Manager,Green Liner,10th of Ramadan City,Full Time,Manager,10 - 15 Yrs of Exp
Assistant Manager - Direct Corporate,Allianz,New Cairo,Full Time,Experienced,4 - 7 Yrs of Exp
Senior Account Executive - Direct Health,Allianz,New Cairo,Full Time,Experienced,2 - 5 Yrs of Exp
HR Business Partner,Travglobe,New Cairo,Full Time,Experienced,8+ Yrs of Exp
Admin Assistant,Future University in Egypt,New Cairo,Full Time,Experienced,3 - 4 Yrs of Exp
Legal Associate,Statements Consulting,Sheraton,Internship,Entry Level,Legal
Publisher,British Book Publishing,London,Full Time,Experienced,2 - 3 Yrs of Exp
International Customer Support,Concentrix + Webhelp,New Cairo,Full Time,Entry Level,1 - 3 Yrs of Exp
payroll Supervisor,Confidential,6th of October,Full Time,Senior Management,6 - 10 Yrs of Exp
Call Center Representative,Selah ElTelmeez For Publishing & printing,Obour City,Full Time,Experienced,1 - 3 Yrs of Exp
Senior Property Consultant indirect,X estate ,New Cairo,Full Time,Entry Level,1 - 5 Yrs of Exp
General Accountant,Tomna ,New Cairo,Full Time,Experienced,1 - 2 Yrs of Exp
Accounts Receivable Accountant (AR),MINISO LIFE,Nasr City,Full Time,Experienced,3 - 5 Yrs of Exp
Planning & Cost control Engineer,Roeya,Tanta,Part Time,Experienced,3 - 4 Yrs of Exp
Warehouse Supervisor,T&D Design,New Cairo,Full Time,Experienced,7 - 10 Yrs of Exp
Site Engineer - AV Systems,Tatas,Abdeen,Full Time,Experienced,2 - 4 Yrs of Exp
"Operational Trainer , Facility Management",Odyssey Overseas Consultants,Riyadh,Full Time,Experienced,Administration
Service Engineer,Techno Orbits Co.,Riyadh,Full Time,Entry Level,IT/Software Development
Online programming and Robotics,Confidential,New Cairo,Part Time,Experienced,1 - 5 Yrs of Exp
Architectural Technical office Engineer,Roeya,Tanta,Full Time,Experienced,2 - 4 Yrs of Exp
Principal Environmental Consultant,Ayesa,Riyadh,Full Time,Experienced,IT/Software Development
Social Media Specialist,Concrete For Real Estate,6th of October,Full Time,Experienced,3 - 5 Yrs of Exp
Hiring for Portuguese Bilingual (English) Team Leader,Intouch CX ,Maadi,Full Time,Experienced,2 - 6 Yrs of Exp
Building Material Sector Heads,Industrial Modernisation Centre (IMC),Nasr City,Full Time,Experienced,7 - 15 Yrs of Exp
Senior Android Developer,Madar Soft,Fleming,Full Time,Experienced,3 - 3 Yrs of Exp
Plastic Quality section head,El Teriak Industrial Group,6th of October,Full Time,Senior Management,15+ Yrs of Exp
Engineer,dacon engineering company,London,Full Time,Entry Level,1 - 20 Yrs of Exp
Cost Accountant,Al Hayat Capital,Mokattam,Full Time,Experienced,4 - 8 Yrs of Exp
Malls Operation Manager,Aswaq,Shorouk City,Full Time,Manager,8 - 10 Yrs of Exp
Senior Procurement Specialist,Aswaq,Shorouk City,Full Time,Experienced,5 - 10 Yrs of Exp
Technical Office Mechanical Engineer,Aswaq,Shorouk City,Full Time,Entry Level,0 - 5 Yrs of Exp
Technical Office Architect,Aswaq,Cairo,Full Time,Entry Level,0 - 3 Yrs of Exp
Technical Office Cost Control Engineer,Aswaq,Shorouk City,Full Time,Experienced,5 - 8 Yrs of Exp
Receivables Accountant,Aswaq,Shorouk City,Full Time,Experienced,3 - 5 Yrs of Exp
Construction Project Manager,Aswaq,Shorouk City,Full Time,Manager,12 - 15 Yrs of Exp
Furniture sector Head,Industrial Modernisation Centre (IMC),Nasr City,Full Time,Experienced,7 - 15 Yrs of Exp
Senior Digital marketing specialist,Aswaq,Shorouk City,Full Time,Experienced,3 - 5 Yrs of Exp
Marketing Section Head,Aswaq,Shorouk City,Full Time,Experienced,5 - 10 Yrs of Exp
Senior Sales,Aswaq,Cairo,Full Time,Experienced,3 - 5 Yrs of Exp
Senior Graphic Designer,Aswaq,Shorouk City,Full Time,Experienced,3 - 5 Yrs of Exp
Technical Office Section Head,Aswaq,Shorouk City,Full Time,Manager,10 - 12 Yrs of Exp
Cost Control Accountant, Circle K,Sheraton,Full Time,Experienced,3 - 5 Yrs of Exp
HR Coordinator,Human Quality,New Cairo,Full Time,Experienced,2+ Yrs of Exp
Call Center Manager,Confidential,Mokattam,Full Time,Manager,10 - 16 Yrs of Exp
Human Resource Recruiter,NOK for Human Capital Solutions,Mokattam,Full Time,Experienced,1 - 2 Yrs of Exp
Bilingual Customer Service Representitive,Outservingplus,Giza,Full Time,Student,Customer Service/Support
Senior Graphic Designer,Essence Adverts,Maadi,Full Time,Experienced,3 - 5 Yrs of Exp
Software Tester,proleaders,Alexandria,Full Time,Experienced,3 - 5 Yrs of Exp
Senior Software Quality Control Engineer,TechJump,Alexandria,Full Time,Experienced,2 - 6 Yrs of Exp
Facility Maintenance Engineer,Methode Electronics Egypt,Cairo,Full Time,Experienced,2 - 4 Yrs of Exp
Marketing Researcher,Confidential,New Cairo,Full Time,Entry Level,1 - 2 Yrs of Exp
Financial Manager,Euromed for Medical industries,Nasr City,Full Time,Senior Management,10+ Yrs of Exp
Accounting Supervisor,EICW egypt,Nasr City,Full Time,Experienced,7 - 10 Yrs of Exp
Customer Support - (French Bilingual),Intouch CX ,Cairo,Full Time,Experienced,1 - 4 Yrs of Exp
Sales Executive,Confidential,Riyadh,Full Time,Experienced,4 - 7 Yrs of Exp
Health Representative,Pfizer,Makkah,Full Time,Experienced,Medical/Healthcare
Senior Foreign Purchasing Specialist,Audio Technology,Heliopolis,Full Time,Experienced,3 - 5 Yrs of Exp
Accountant,Confidential,Cairo,Full Time,Experienced,3 - 5 Yrs of Exp
Section Sales Manager - Water Sector,Giza Arabia,Riyadh,Full Time,Not specified,Customer Service/Support
Sales Associate (Boutique) - Riyadh,Nestlé Nespresso SA,Makkah,Full Time,Entry Level,Business Development
Senior Property Consultant,Confidential,6th of October,Part Time,Entry Level,1 - 5 Yrs of Exp
ERP Sales Account Manager,Ofis Soft,San Stefano,Full Time,Experienced,2 - 5 Yrs of Exp
Store Manager,BaseTeam Recruitment,Riyadh,Full Time,Entry Level,Customer Service/Support
Equity Analyst,ABI ANALYTICS PRIVATE LIMITED,Mumbai,Full Time,Entry Level,1 - 3 Yrs of Exp
Human Resources Specialist,AR Corporates,6th of October,Full Time,Manager,3 - 4 Yrs of Exp
Factory Manager,Euromed for Medical industries,Nasr City,Full Time,Senior Management,5+ Yrs of Exp
Sales Operation Specialist,Fawry for Banking Technology and Electronic Payments S.A.E,6th of October,Full Time,Entry Level,1 - 2 Yrs of Exp
"Technical Support Advisor - Vodafone UK - Immediate hiring - Egypt, Alexandria",_VOIS Egypt,6th of October,Full Time,Entry Level,0 - 2 Yrs of Exp
Digital Media Buyer,Ghandour Auto,New Cairo,Full Time,Experienced,1 - 3 Yrs of Exp
Project Coordinator,H. M. Al Rugaib & Sons Trading Co.,Riyadh,Full Time,Not specified,Administration
Regional Export Sales Manager,NOK for Human Capital Solutions,Cairo,Full Time,Manager,6 - 8 Yrs of Exp
Finance Manager,Vision Cosmetics,Nasr City,Full Time,Manager,5 - 12 Yrs of Exp
Patient Safety Specialist,MEAHCO,Maadi,Full Time,Experienced,2 - 5 Yrs of Exp
Senior Accountant,Fawry for Banking Technology and Electronic Payments S.A.E,6th of October,Full Time,Experienced,3 - 5 Yrs of Exp
Treasury Manager,Egyptian Company for Cosmetics,Nasr City,Full Time,Manager,10 - 15 Yrs of Exp
Construction Engineer,El Reefy Trading ,Cairo,Full Time,Senior Management,10 - 20 Yrs of Exp
English Account Vacancy - International Account Advisor - Vodafone UK,_VOIS Egypt,6th of October,Full Time,Entry Level,0 - 2 Yrs of Exp
Accounting Manager,Taverna Restaurants,Alexandria,Full Time,Manager,5 - 10 Yrs of Exp
Comp&Ben Specialist,Kandil Steel,Obour City,Full Time,Experienced,3 - 3 Yrs of Exp
Production Supervisor,Nerhadou International,6th of October,Full Time,Experienced,4 - 7 Yrs of Exp
Junior Logistics Specialist,Sidhom Printing Solutions,Nasr City,Full Time,Entry Level,1 - 2 Yrs of Exp
Junior Technical Project Manager,BBI-Consultancy,Nasr City,Full Time,Experienced,1 - 3 Yrs of Exp
Senior Interior Designer,Bash Hesnef Interior Designs,Dubai,Full Time,Experienced,6+ Yrs of Exp
Reliance Care Officer,Reliance Health,Cairo,Full Time,Entry Level,1 - 3 Yrs of Exp
Junior Accountant,Fawry for Banking Technology and Electronic Payments S.A.E,6th of October,Full Time,Entry Level,1 - 2 Yrs of Exp
Brand Management Senior Specialist,"Zakat, Tax and Customs Authority",Riyadh,Full Time,Experienced,Operations/Management
Payroll & Benefits Supervisor,"Zakat, Tax and Customs Authority",Riyadh,Full Time,Experienced,Accounting/Finance
Electrical Supervisor,Centro Corniche,Khobar,Full Time,Not specified,Creative/Design/Art
Senior Sales Account Manager - Saudi Nationals Only,Jafeer Technologies,Riyadh,Full Time,Not specified,Customer Service/Support
Maintenance Supervisor,Abdullah Abdulghani & Bros.Co. (AAB),Doha,Full Time,Experienced,7+ Yrs of Exp
Export Sales Coordinator,TechnoBit Group,Shubra,Full Time,Entry Level,1 - 3 Yrs of Exp
Sales Engineer (CCTV and security system),Optima for engineering designs  and real estate,New Cairo,Full Time,Experienced,2 - 5 Yrs of Exp
Garments Sales Executive,Elsewedy industries,New Cairo,Full Time,Experienced,0 - 4 Yrs of Exp
Java Full Stack (Spring/Angler),Ithmaar Integrated Solutions,Sheikh Zayed,Full Time,Experienced,2 - 4 Yrs of Exp
Senior Graphic Designer,Vision Cosmetics,Nasr City,Full Time,Experienced,4 - 6 Yrs of Exp
Localization Engineering Specialist,The Translation Gate,Maadi,Full Time,Experienced,2 - 4 Yrs of Exp
Purchasing Manager,Global Academic Foundation Hosting University of Hertfordshire UH,New Capital,Full Time,Manager,10 - 15 Yrs of Exp
Real estate Team leader,Waf developments ,Smouha,Full Time,Experienced,4+ Yrs of Exp
Instock Associate,NOK for Human Capital Solutions,Maadi,Full Time,Experienced,1 - 2 Yrs of Exp
Graphic Designer 2D/Real Estate,Confidential,Mohandessin,Full Time,Experienced,5 - 7 Yrs of Exp
Technical Support Advisor,Wataniah Business Group,Riyadh,Full Time,Not specified,Customer Service/Support
Senior Revenue Assurance Specialist,Beyond ONE,Riyadh,Full Time,Experienced,IT/Software Development
Procurement engineer,ATRIC Developments,Heliopolis,Full Time,Experienced,2 - 3 Yrs of Exp
Sales Executive/Engineer,Wataniah Business Group,Riyadh,Full Time,Not specified,Customer Service/Support
Product Director - Mobile,Steer Studios,Riyadh,Full Time,Manager,Operations/Management
IT Agent,"International Company for import, export and commercial agencies",Shorouk City,Full Time,Entry Level,1 - 10 Yrs of Exp
Technical Office Manager,Confidential,Helwan,Full Time,Manager,10 - 15 Yrs of Exp
Maintenance Engineer,Reliance Group,Cairo,Full Time,Experienced,3 - 5 Yrs of Exp
Senior ERP Implementer,Confidential,Mohandessin,Full Time,Experienced,5 - 7 Yrs of Exp
Distribution Center Supervisor,FRIDAL,6th of October,Full Time,Manager,8 - 15 Yrs of Exp
Junior ERP Implementer,Confidential,Mohandessin,Full Time,Entry Level,0 - 1 Yrs of Exp
Cost Accountant,ElTarek Automotive,Alexandria,Full Time,Entry Level,1 - 3 Yrs of Exp
Odoo Implementer,Confidential,Mohandessin,Full Time,Entry Level,2 - 7 Yrs of Exp
Odoo Developer,Confidential,Mohandessin,Full Time,Experienced,3 - 8 Yrs of Exp
Production Engineer,Bakeland Egypt ,New Cairo,Full Time,Experienced,3 - 5 Yrs of Exp
Senior Project Engineer,Fawry Plus,Smart Village,Full Time,Manager,5 - 7 Yrs of Exp
HR Manager (Hospitality),The WaterWay Developments ,North Coast,Full Time,Manager,10 - 14 Yrs of Exp
Mechanical Site Engineer,Vital Konzept,Sheikh Zayed,Full Time,Experienced,6+ Yrs of Exp
Sales Team Leader - Real Estate,iproperties,New Cairo,Full Time,Manager,5 - 7 Yrs of Exp
Quality Section head,Methode Electronics Egypt,Nasr City,Full Time,Manager,5 - 7 Yrs of Exp
Book Translator (Native Italian Speaking),GreenTomatoMedia,Kuwait City,Full Time,Entry Level,Administration
Quality Control Engineer,Bakeland Egypt ,New Cairo,Full Time,Experienced,3 - 5 Yrs of Exp
Employee Relations Specialist,etisal for advanced industries ,6th of October,Full Time,Experienced,1 - 3 Yrs of Exp
IT Infrastructure Engineer,etisal for advanced industries ,6th of October,Full Time,Experienced,2 - 3 Yrs of Exp
Process Quality Engineer,etisal for advanced industries ,6th of October,Full Time,Entry Level,0 - 1 Yrs of Exp
Process Engineer,etisal for advanced industries ,6th of October,Full Time,Experienced,1 - 3 Yrs of Exp
