,Unnamed: 0.1,Unnamed: 0,id,carat,cut,color,clarity,depth,table,x,y,z,price
86,86,109697,109697,1.51,Premium,I,VVS1,61.4,59.0,7.34,7.36,4.51,11435
87,87,15066,15066,1.51,Premium,H,VS1,61.5,60.0,7.29,7.36,4.5,10852
88,88,108514,108514,0.83,Premium,E,SI1,62.2,59.0,5.98,6.03,3.73,3115
89,89,166627,166627,0.31,Premium,E,SI1,60.6,59.0,4.31,4.34,2.62,544
90,90,26659,26659,0.34,Premium,F,SI1,60.7,58.0,4.49,4.53,2.73,596
91,91,24926,24926,0.53,Very Good,F,SI1,61.6,58.0,5.19,5.23,3.21,1201
92,92,143513,143513,0.7,Very Good,G,SI1,59.9,61.0,5.74,5.8,3.44,2275
93,93,18670,18670,0.9,Very Good,F,SI1,63.3,58.0,6.08,6.12,3.86,4165
94,94,94803,94803,1.51,Very Good,I,SI2,62.2,59.0,7.24,7.27,4.52,6449
95,95,169636,169636,0.31,Ideal,D,VS2,61.9,56.0,4.35,4.31,2.68,942
96,96,149953,149953,0.7,Very Good,F,SI1,61.7,58.0,5.71,5.67,3.51,2247
97,97,165236,165236,0.81,Very Good,G,SI1,63.2,57.0,5.89,5.91,3.73,2839
98,98,2268,2268,1.06,Ideal,E,SI2,61.7,57.0,6.58,6.55,4.05,5319
99,99,182185,182185,1.01,Premium,G,SI2,62.6,59.0,6.32,6.27,3.94,4269
100,100,51489,51489,0.82,Ideal,G,SI1,61.4,57.0,6.04,5.99,3.7,2898
101,101,135114,135114,1.51,Very Good,G,VS2,63.2,57.0,7.36,7.3,4.63,12291
102,102,121295,121295,1.51,Premium,F,VS2,62.1,58.0,7.29,7.25,4.52,12336
103,103,135563,135563,0.51,Very Good,F,SI1,60.1,63.0,5.13,5.16,3.11,1337
104,104,109921,109921,1.0,Premium,F,SI2,62.3,57.0,6.41,6.35,3.97,3604
105,105,190984,190984,0.7,Premium,I,VVS2,62.6,59.0,5.65,5.6,3.51,2346
106,106,38519,38519,0.5,Premium,G,SI1,61.4,62.0,5.13,5.09,3.13,1133
107,107,167919,167919,0.31,Ideal,G,IF,62.1,54.0,4.34,4.36,2.7,867
108,108,155412,155412,0.3,Premium,G,VS1,62.9,58.0,4.28,4.23,2.67,605
109,109,19968,19968,0.36,Ideal,I,VVS1,62.4,55.0,4.54,4.55,2.84,589
110,110,115201,115201,2.06,Ideal,I,VS2,62.0,57.0,8.12,8.18,5.05,14224
111,111,47413,47413,1.26,Ideal,H,SI1,62.2,54.0,6.92,6.96,4.33,7437
112,112,152528,152528,1.61,Ideal,F,VS1,61.8,54.0,7.53,7.59,4.68,17515
113,113,59690,59690,0.51,Ideal,F,VS2,60.4,57.0,5.23,5.2,3.15,1754
114,114,35713,35713,1.07,Ideal,F,VS2,62.0,56.0,6.58,6.61,4.08,6973
115,115,158623,158623,0.55,Ideal,G,SI1,61.8,54.0,5.23,5.28,3.25,1272
116,116,89662,89662,1.0,Premium,I,VS2,62.9,59.0,6.39,6.34,3.99,4752
117,117,3901,3901,1.51,Very Good,D,SI2,63.2,55.0,7.29,7.24,4.6,8038
118,118,63715,63715,1.56,Ideal,H,VS2,61.4,55.0,7.45,7.46,4.59,12244
119,119,17926,17926,0.23,Very Good,D,VS2,60.4,60.0,4.0,4.04,2.42,378
120,120,99861,99861,0.51,Ideal,G,VS2,61.5,56.0,5.15,5.18,3.18,1435
121,121,177506,177506,0.4,Ideal,D,VVS2,60.7,57.0,4.79,4.76,2.89,1221
122,122,123908,123908,0.32,Very Good,H,SI1,63.1,56.0,4.4,4.34,2.76,576
123,123,20423,20423,1.2,Ideal,H,SI2,62.2,56.0,6.78,6.82,4.23,5538
124,124,132242,132242,1.51,Premium,H,VS1,60.4,59.0,7.4,7.36,4.45,8593
125,125,11668,11668,0.51,Ideal,G,VS2,61.5,56.0,5.11,5.18,3.17,1343
126,126,162100,162100,0.79,Ideal,G,VVS2,62.3,56.0,5.87,5.91,3.67,3793
127,127,68313,68313,1.79,Ideal,H,VS2,61.3,57.0,7.89,7.84,4.81,15805
128,128,134708,134708,2.52,Ideal,I,SI1,63.0,56.0,8.6,8.57,5.49,17231
129,129,29121,29121,0.32,Ideal,G,VS1,61.0,55.0,4.41,4.44,2.69,721
130,130,160511,160511,1.02,Premium,G,VVS2,61.6,58.0,6.48,6.44,3.98,7226
131,131,3242,3242,0.42,Ideal,H,VVS2,61.1,57.0,4.8,4.86,2.95,823
132,132,142883,142883,0.32,Ideal,D,VS2,61.3,55.0,4.34,4.38,2.68,758
133,133,116237,116237,0.42,Ideal,F,VS2,62.9,57.0,4.78,4.75,2.99,1069
134,134,181953,181953,0.9,Fair,E,SI2,66.2,55.0,6.04,5.99,3.95,2978
135,135,148507,148507,0.39,Ideal,F,VS1,62.1,55.0,4.76,4.72,2.94,1153
136,136,163346,163346,0.63,Ideal,J,SI1,64.7,53.7,5.39,5.42,3.47,1565
137,137,128749,128749,1.21,Ideal,F,VS2,60.8,55.0,6.85,6.9,4.18,8924
138,138,182338,182338,0.73,Ideal,I,VS1,61.6,56.0,5.78,5.8,3.56,2383
139,139,144285,144285,1.64,Premium,H,VS1,60.8,59.0,7.59,7.64,4.64,13701
140,140,795,795,1.06,Premium,F,SI2,60.5,58.0,6.6,6.59,3.99,4007
141,141,66484,66484,1.03,Premium,H,SI1,61.1,58.0,6.53,6.46,3.99,4764
142,142,172124,172124,0.33,Ideal,H,SI1,61.3,54.0,4.45,4.48,2.74,539
143,143,172786,172786,1.54,Ideal,H,VS2,60.7,57.0,7.46,7.51,4.54,11093
144,144,43433,43433,0.39,Premium,F,VS2,62.8,60.0,4.65,4.61,2.92,1024
145,145,122503,122503,0.44,Premium,H,VS1,62.7,58.0,4.84,4.81,3.02,1035
146,146,170817,170817,0.74,Very Good,E,VS2,62.3,57.0,5.78,5.76,3.59,3270
147,147,18992,18992,0.59,Good,G,SI1,57.9,61.0,5.59,5.55,3.21,1271
148,148,92575,92575,2.13,Premium,G,SI2,59.9,59.0,8.43,8.35,5.0,13564
149,149,54173,54173,1.22,Premium,H,VS1,61.7,59.0,6.89,6.86,4.23,8418
150,150,8383,8383,0.32,Ideal,H,VS2,61.2,56.0,4.43,4.46,2.72,523
151,151,157574,157574,0.52,Ideal,E,SI1,62.1,56.0,5.13,5.16,3.2,1290
152,152,33972,33972,0.5,Premium,D,SI2,61.4,57.0,5.12,5.09,3.15,1279
153,153,40801,40801,1.06,Premium,F,SI2,61.3,59.0,6.56,6.53,4.01,4637
154,154,59947,59947,1.0,Premium,D,SI1,59.3,56.0,6.58,6.51,3.87,5929
155,155,149263,149263,0.73,Premium,E,VS1,61.5,60.0,5.78,5.73,3.54,3036
156,156,60617,60617,1.0,Premium,F,VS2,61.5,58.0,6.38,6.43,3.95,6443
157,157,56708,56708,1.02,Premium,G,VS2,60.2,59.0,6.51,6.54,3.93,6400
158,158,128440,128440,0.41,Ideal,I,VS2,62.6,57.0,4.69,4.72,2.95,716
159,159,113275,113275,0.32,Ideal,E,VS2,61.7,55.0,4.42,4.44,2.74,827
160,160,115372,115372,0.4,Very Good,E,VS2,62.6,58.0,4.71,4.75,2.95,696
161,161,103057,103057,0.3,Ideal,G,SI1,61.7,55.0,4.33,4.35,2.68,477
162,162,130638,130638,0.72,Ideal,H,VVS2,62.1,55.0,5.74,5.8,3.58,2080
163,163,167675,167675,1.01,Premium,G,SI1,62.2,59.0,6.44,6.39,3.99,4434
164,164,177717,177717,0.7,Premium,D,SI1,59.9,60.0,5.78,5.73,3.45,2714
165,165,142421,142421,0.91,Premium,H,SI1,62.4,59.0,6.15,6.18,3.85,3234
166,166,67795,67795,1.54,Premium,I,VS2,59.4,60.0,7.53,7.51,4.46,8811
167,167,118107,118107,1.24,Premium,F,VS2,62.3,58.0,6.88,6.84,4.28,9138
168,168,8804,8804,0.28,Very Good,G,SI2,58.4,61.0,4.28,4.34,2.51,397
169,169,111311,111311,0.91,Very Good,E,SI1,59.2,60.0,6.32,6.35,3.75,3977
170,170,98242,98242,1.01,Very Good,E,VS2,63.8,57.0,6.35,6.31,4.05,6335
171,171,106893,106893,2.21,Premium,J,VS2,61.7,58.0,8.33,8.38,5.14,15451
172,172,44786,44786,0.3,Ideal,,VS1,62.1,53.0,4.29,4.34,2.68,504
173,173,169930,169930,1.2,Ideal,,VVS2,61.2,57.0,6.87,6.89,4.21,12720
174,174,168523,168523,1.51,Good,J,VS1,64.0,59.0,7.28,7.2,4.61,8911
175,175,92009,92009,1.2,Very Good,G,SI1,62.1,58.0,6.8,6.84,4.23,6288
176,176,186554,186554,0.92,Ideal,D,SI2,61.9,57.0,6.22,6.19,3.83,4327
177,177,167485,167485,0.32,Ideal,G,VVS2,61.7,56.0,4.4,4.43,2.72,936
178,178,80200,80200,1.12,Very Good,D,VS2,60.9,55.0,6.61,6.66,4.06,6373
179,179,101619,101619,0.9,Ideal,F,SI2,62.6,56.0,6.16,6.19,3.87,4269
180,180,187853,187853,0.52,Ideal,G,VVS2,60.9,56.0,5.2,5.2,3.16,1935
181,181,11372,11372,1.14,Ideal,G,SI2,62.5,56.0,6.65,6.72,4.17,4814
182,182,179918,179918,1.12,Premium,J,SI1,60.9,58.0,6.76,6.7,4.1,4259
183,183,38622,38622,1.0,Premium,D,VS1,61.1,58.0,6.42,6.47,3.95,8038
184,184,83646,83646,0.97,Premium,I,SI2,59.4,58.0,6.51,6.45,3.85,2867
185,185,122645,122645,1.33,Ideal,J,VS1,62.1,56.0,7.02,7.07,4.38,6653
186,186,145198,145198,0.38,Ideal,E,SI1,61.5,57.0,4.66,4.68,2.87,737
187,187,30370,30370,0.3,Ideal,F,SI1,61.8,57.0,4.29,4.26,2.65,526
188,188,78336,78336,0.5,Ideal,F,SI2,60.9,57.0,5.12,5.15,3.13,1133
189,189,117963,117963,0.57,Premium,G,VS1,59.2,59.0,5.46,5.4,3.21,1803
190,190,72365,72365,1.01,Very Good,G,VS1,63.0,56.0,6.38,6.41,4.03,6580
191,191,30094,30094,1.24,Ideal,J,VS2,62.0,57.0,6.87,6.91,4.28,5816
192,192,134557,134557,0.4,Ideal,E,VVS2,61.4,56.0,4.76,4.8,2.93,1125
193,193,185461,185461,1.51,Ideal,G,VS2,62.4,56.0,7.3,7.32,4.56,12606
194,194,174963,174963,0.72,Very Good,E,SI1,60.1,60.0,5.79,5.81,3.5,2948
195,195,112090,112090,0.4,Ideal,F,VS1,61.2,57.0,4.74,4.77,2.91,982
196,196,7524,7524,0.72,Ideal,E,SI1,62.1,57.0,5.69,5.75,3.55,2608
197,197,36993,36993,0.56,Ideal,G,VS2,62.1,56.0,5.33,5.28,3.3,1821
198,198,14228,14228,1.39,Premium,H,VS2,62.2,58.0,7.19,7.1,4.46,9502
199,199,165042,165042,1.38,Ideal,I,VVS2,61.5,54.0,7.2,7.17,4.42,9939
200,200,79596,79596,0.35,Very Good,D,SI1,63.1,55.0,4.54,4.51,2.84,756
201,201,182459,182459,0.32,Ideal,D,VS2,61.7,55.0,4.38,4.42,2.72,744
202,202,174500,174500,0.4,Ideal,E,SI2,62.7,54.0,4.69,4.73,2.95,629
203,203,138909,138909,0.7,Very Good,E,VVS2,62.5,60.0,5.6,5.66,3.52,3468
204,204,72464,72464,1.0,Good,D,SI2,63.7,60.0,6.28,6.32,4.01,4916
205,205,148987,148987,0.34,Ideal,I,VVS2,61.6,55.0,4.49,4.52,2.78,596
206,206,87391,87391,0.8,Ideal,F,SI2,61.0,57.0,6.0,6.05,3.65,2933
207,207,173595,173595,0.29,Ideal,H,VS2,61.1,56.0,4.27,4.3,2.62,494
208,208,76961,76961,0.97,Good,F,SI2,63.9,55.0,6.25,6.2,3.99,3231
209,209,13532,13532,0.3,Premium,H,VS2,62.1,58.0,4.3,4.26,2.66,515
210,210,158271,158271,1.52,Premium,E,VS1,60.3,58.0,7.48,7.42,4.49,15889
211,211,59066,59066,1.43,Very Good,J,SI1,62.1,61.0,7.18,7.22,4.44,6458
212,212,111268,111268,0.71,Very Good,E,SI2,61.5,55.0,5.74,5.8,3.55,2791
213,213,189384,189384,0.55,Ideal,D,VS2,61.3,57.0,5.25,5.28,3.23,1792
214,214,62498,62498,0.42,Very Good,G,VS1,60.9,62.0,4.82,4.78,2.93,962
215,215,101335,101335,1.25,Very Good,G,VS1,61.6,57.0,6.88,6.95,4.25,8580
216,216,161231,161231,1.15,Premium,G,SI2,62.1,58.0,6.74,6.69,4.17,5161
217,217,137466,137466,0.32,Ideal,H,SI1,61.8,56.0,4.38,4.41,2.71,540
218,218,61495,61495,0.32,Good,E,SI1,63.7,60.0,4.33,4.28,2.74,720
219,219,56454,56454,0.83,Premium,J,VS2,62.0,59.0,6.03,5.94,3.72,2812
220,220,50405,50405,0.44,Ideal,E,VS2,61.6,56.0,4.9,4.86,3.01,1073
221,221,191486,191486,0.33,Ideal,F,VVS2,62.3,55.0,4.46,4.48,2.79,1041
222,222,25241,25241,1.03,Ideal,D,VVS2,62.7,56.0,6.43,6.4,4.03,11602
223,223,42720,42720,0.31,Ideal,E,SI1,62.7,56.0,4.35,4.37,2.73,533
224,224,105710,105710,0.27,Ideal,E,VS2,62.3,56.0,4.16,4.19,2.6,559
225,225,179698,179698,0.27,Very Good,F,VS1,61.4,56.0,4.14,4.17,2.55,407
226,226,177400,177400,0.3,Very Good,E,VVS1,62.0,58.0,4.26,4.29,2.65,895
227,227,49295,49295,1.01,Ideal,G,SI2,61.7,56.0,6.4,6.42,3.95,4269
228,228,53776,53776,1.52,Ideal,I,VS1,62.0,58.0,7.33,7.35,4.55,9636
229,229,34496,34496,0.73,Premium,E,VS2,61.1,60.0,5.78,5.82,3.55,2937
230,230,40864,40864,0.39,Ideal,E,VVS1,60.3,57.0,4.73,4.77,2.86,1179
231,231,13240,13240,1.0,Very Good,,SI1,62.3,57.0,6.34,6.39,3.97,6332
232,232,103775,103775,1.01,Very Good,D,SI2,61.7,56.0,6.38,6.45,3.96,4112
233,233,163131,163131,0.31,Premium,D,VS2,60.6,58.0,4.42,4.39,2.66,942
234,234,148841,148841,0.3,Very Good,I,SI1,61.2,62.0,4.25,4.28,2.62,382
235,235,177507,177507,0.33,Very Good,D,VVS2,61.9,56.0,4.42,4.45,2.75,984
236,236,17054,17054,1.36,Ideal,G,VS2,61.8,55.0,7.17,7.12,4.41,10497
237,237,12684,12684,1.2,Ideal,E,VS1,62.8,57.0,6.81,6.78,4.27,10602
238,238,57177,57177,0.5,Premium,F,SI1,61.0,60.0,5.07,5.09,3.1,1110
239,239,103923,103923,0.52,Ideal,D,SI1,61.9,56.0,5.22,5.19,3.22,1600
240,240,33916,33916,0.3,Premium,H,VS2,61.7,58.0,4.29,4.32,2.66,608
241,241,185566,185566,0.72,Ideal,E,VS2,61.2,57.0,5.79,5.82,3.55,3166
242,242,22408,22408,1.01,Premium,H,SI1,60.3,58.0,6.55,6.5,3.94,4827
243,243,84144,84144,1.05,Ideal,G,VVS2,61.4,57.0,6.55,6.53,4.01,8567
244,244,150465,150465,1.23,Ideal,G,VS1,62.2,54.0,6.86,6.82,4.25,8454
245,245,107234,107234,0.7,Good,G,VS2,64.3,58.0,5.54,5.56,3.56,2206
246,246,167964,167964,1.29,Premium,E,SI2,59.3,58.0,7.15,7.11,4.2,4885
247,247,109294,109294,0.31,Very Good,E,VS1,61.7,58.0,4.33,4.36,2.68,738
248,248,169670,169670,2.01,Fair,H,VS2,65.4,57.0,7.9,7.84,5.15,16805
249,249,88750,88750,0.41,Premium,F,VS2,61.5,57.0,4.79,4.76,2.94,1107
250,250,57294,57294,1.03,Very Good,G,VS1,63.3,55.0,6.4,6.45,4.07,7153
251,251,172441,172441,0.3,Premium,D,SI1,62.0,59.0,4.29,4.27,2.65,709
252,252,119439,119439,0.9,Ideal,E,SI1,61.6,56.0,6.2,6.23,3.83,3649
253,253,188049,188049,0.3,Ideal,E,SI1,62.5,54.0,4.33,4.37,2.72,526
254,254,14096,14096,0.55,Ideal,E,SI1,61.1,56.0,5.3,5.28,3.23,1719
255,255,70299,70299,0.32,Ideal,G,VVS2,60.9,57.0,4.45,4.42,2.7,730
256,256,153634,153634,0.9,Premium,G,SI2,60.0,60.0,6.2,6.23,3.74,3376
257,257,149873,149873,1.28,Ideal,G,VVS2,61.2,57.0,7.01,6.97,4.27,10111
258,258,90323,90323,0.3,Ideal,G,IF,62.9,57.0,4.33,4.3,2.71,956
259,259,67874,67874,0.57,Ideal,E,VS2,61.9,57.0,5.33,5.35,3.3,1761
260,260,178984,178984,0.52,Ideal,G,VS1,61.4,55.0,5.17,5.19,3.19,1957
261,261,37234,37234,0.5,Very Good,H,SI2,63.2,57.0,4.96,4.99,3.14,965
262,262,56258,56258,0.52,Ideal,E,VS2,61.8,55.0,5.19,5.23,3.22,1815
263,263,108564,108564,0.34,Ideal,J,SI2,61.9,56.0,4.5,4.55,2.8,345
264,264,179929,179929,1.02,Ideal,E,SI1,61.8,56.0,6.45,6.48,4.0,5544
265,265,3065,3065,0.5,Premium,E,VS2,58.6,61.0,5.16,5.13,3.03,1397
266,266,56609,56609,0.33,Premium,I,VS1,60.1,58.0,4.55,4.5,2.72,668
267,267,74882,74882,0.73,Ideal,I,VVS2,62.1,56.0,5.75,5.8,3.58,2487
268,268,193111,193111,1.3,Ideal,F,SI2,62.1,56.0,6.98,6.94,4.33,6424
269,269,18377,18377,0.52,Good,E,VS2,63.3,54.0,5.12,5.08,3.23,1732
270,270,183230,183230,0.25,Very Good,E,VVS1,60.9,57.0,4.03,4.06,2.47,586
271,271,71628,71628,1.0,Fair,F,SI1,65.3,56.0,6.38,6.29,4.1,5152
272,272,133062,133062,0.91,Ideal,H,SI2,61.6,57.0,6.2,6.24,3.83,3697
273,273,106460,106460,0.28,Ideal,G,IF,61.9,55.0,4.19,4.22,2.6,956
274,274,64316,64316,0.32,Ideal,J,VS2,61.9,54.0,4.38,4.42,2.72,450
275,275,137917,137917,0.77,Very Good,D,SI2,63.2,58.0,5.82,5.85,3.69,2795
276,276,106085,106085,1.03,Ideal,G,VS1,61.2,56.0,6.52,6.51,3.99,7028
277,277,159595,159595,2.09,Premium,H,SI2,61.0,58.0,8.27,8.17,5.04,18318
278,278,117950,117950,0.3,Ideal,G,SI1,61.4,55.0,4.31,4.34,2.66,491
279,279,191704,191704,1.06,Ideal,G,SI1,61.3,58.0,6.55,6.58,4.02,5125
280,280,137343,137343,0.34,Ideal,G,IF,61.5,55.0,4.5,4.53,2.77,974
281,281,45265,45265,1.53,Premium,F,VS2,61.5,58.0,7.35,7.4,4.54,14211
282,282,21769,21769,1.5,Premium,G,VS2,62.1,59.0,7.34,7.27,4.53,12283
283,283,48614,48614,1.01,Good,F,SI2,63.8,59.0,6.34,6.41,4.08,4616
284,284,86334,86334,0.9,Good,D,VS2,63.9,58.0,6.08,6.12,3.9,4899
285,285,168448,168448,0.7,Good,G,SI1,63.8,61.0,5.59,5.61,3.57,2134
286,286,70,70,1.22,Ideal,H,VS1,62.0,56.0,6.86,6.9,4.26,8491
287,287,78435,78435,0.42,Ideal,I,VVS2,61.2,56.0,4.82,4.86,2.96,918
288,288,8774,8774,1.24,Premium,G,VS2,62.1,58.0,6.86,6.81,4.24,7706
289,289,139187,139187,0.53,Very Good,D,SI1,61.4,55.0,5.21,5.24,3.22,1662
290,290,104285,104285,0.32,Ideal,I,VVS2,62.3,57.0,4.38,4.35,2.72,720
291,291,145122,145122,0.3,Premium,I,VS1,61.4,61.0,4.32,4.28,2.64,608
292,292,17278,17278,1.02,Premium,G,VS2,62.1,59.0,6.5,6.44,4.0,6108
